STATEFIPS,STATE,zipcode,Returns_pct1,Returns_pct2,Returns_pct3,Returns_pct4,Returns_pct5,Returns_pct6,total
21,KY,40229,35.97,30.27,15.77,9.57,7.86,0.55,18070
21,KY,40241,25.98,19.62,13.85,10.83,20.41,9.32,15240
21,KY,40242,29.16,25.05,14.95,10.65,16.64,3.55,5350
21,KY,40243,29.54,21.53,16.19,11.74,17.97,3.02,5620
21,KY,40245,24.31,14.92,11.72,10.19,25.23,13.63,16290
21,KY,40258,38.06,30.85,15.35,8.45,6.98,0.31,12900
21,KY,40272,38,29.67,14.72,8.63,8.33,0.65,16920
21,KY,40291,29.83,25.47,15.75,10.97,15.38,2.6,19240
21,KY,40299,28.97,22.55,15.15,11.23,18.24,3.87,20400
21,KY,40310,40,25.71,17.14,8.57,8.57,0,350
21,KY,40311,45.05,27.84,13.55,6.59,6.96,0,2730
21,KY,40312,49.31,26.73,12.9,6.45,4.61,0,2170
21,KY,40313,54.08,25.51,11.22,5.1,4.08,0,980
21,KY,40316,50,25,25,0,0,0,120
21,KY,40322,45.61,28.95,13.16,7.89,4.39,0,1140
21,KY,40324,31.81,22.65,15.29,11.51,15.76,2.97,21190
21,KY,40328,42.55,29.79,12.77,8.51,6.38,0,470
21,KY,40330,38.77,25.97,14.86,9.9,9.18,1.33,8280
21,KY,40336,46.22,26.47,13.66,7.14,5.88,0.63,4760
21,KY,40337,44.6,29.58,14.08,7.04,4.69,0,2130
21,KY,40342,33.72,26.61,15.79,11.21,11.11,1.56,10260
21,KY,40346,50,25,14.29,10.71,0,0,280
21,KY,40347,31.47,23.78,13.29,9.79,16.08,5.59,1430
21,KY,40348,52.38,23.81,9.52,14.29,0,0,210
21,KY,40350,54.55,45.45,0,0,0,0,110
21,KY,40351,42.6,25.56,13.76,8.26,8.26,1.57,7630
21,KY,40353,40.17,26.71,14.22,8.9,8.36,1.63,9210
21,KY,40356,38.04,24.4,13.54,8.76,10.48,4.78,18610
21,KY,40358,44.83,24.14,13.79,10.34,6.9,0,290
21,KY,40359,39.31,26.9,15.86,8.62,8.62,0.69,2900
21,KY,40360,44.93,28.26,12.32,7.61,6.16,0.72,2760
21,KY,40361,40.65,26.62,12.99,8.7,9.09,1.95,7700
21,KY,40363,33.33,16.67,25,25,0,0,120
21,KY,40370,32.8,24,16,12,13.6,1.6,1250
